date,open,high,low,close,volume,signal,ma_20,diff,distance,yearly_high,yearly_low,top_5
2018-07-17,6472.18820800779,7303.373046875,7303.373046875,7303.373046875,4559363584.0,0,,,831.1848388672097,7303.373046875,,0
2018-07-18,6544.9273437499805,7334.771484375,7334.771484375,7334.771484375,6194130943.999999,1,,,789.8441406250195,7334.771484375,,0
2018-07-19,6607.954541015604,7442.80078125,7442.80078125,7442.80078125,4843025408.0,0,,,834.8462402343957,7442.80078125,,0
2018-07-20,6656.223144531225,7331.8715820312,7331.8715820312,7331.8715820312,4107857408.0,0,,,675.6484374999745,7331.8715820312,,0
2018-07-21,6709.536132812475,7379.1372070312,7379.1372070312,7379.1372070312,3727831808.0,0,,,669.6010742187245,7379.1372070312,,0
2018-07-22,6749.552075195289,7395.8662109375,7395.8662109375,7395.8662109375,2892881152.0,0,,,646.314135742211,7395.8662109375,,0
2018-07-23,6809.92148437498,7704.9956054688,7704.9956054688,7704.9956054688,5717881856.0,0,,,895.0741210938204,7704.9956054688,,0
2018-07-24,6902.90410156248,8422.3740234375,8422.3740234375,8422.3740234375,6202101760.0,0,,,1519.4699218750202,8422.3740234375,,0
2018-07-25,6983.244750976545,8144.5537109375,8144.5537109375,8144.5537109375,5592076800.0,0,,,1161.3089599609548,8144.5537109375,,0
2018-07-26,7049.53395996092,7929.0791015625,7929.0791015625,7929.0791015625,4086880000.0,0,,,879.5451416015803,7929.0791015625,,0
2018-07-27,7118.808813476545,8145.3330078125,8145.3330078125,8145.3330078125,3429994496.0,0,,,1026.5241943359551,8145.3330078125,,0
2018-07-28,7193.38383789061,8192.1357421875,8192.1357421875,8192.1357421875,3624913408.0,0,,,998.7519042968897,8192.1357421875,,0
2018-07-29,7270.850683593735,8197.59375,8197.59375,8197.59375,3659115519.9999995,0,,,926.7430664062649,8197.59375,,0
2018-07-30,7364.977685546861,8185.9208984375,8185.9208984375,8185.9208984375,2598593280.0,0,,,820.9432128906392,8185.9208984375,,0
2018-07-31,7433.228417968739,7738.2495117188,7738.2495117188,7738.2495117188,3497813504.0,0,,,305.0210937500606,7738.2495117188,,0
2018-08-01,7502.31394042968,7612.30078125,7612.30078125,7612.30078125,4675499008.0,0,,,109.98684082032014,7612.30078125,,0
2018-08-02,7566.925732421865,7540.6333007812,7540.6333007812,7540.6333007812,11591126016.0,0,,,-26.2924316406652,7540.6333007812,,0
2018-08-03,7625.202197265615,7411.6665039062,7411.6665039062,7411.6665039062,6834800640.0,0,,,-213.53569335941484,7411.6665039062,,0
2018-08-04,7658.168017578115,7009.0122070312,7009.0122070312,7009.0122070312,5580835839.999999,0,,,-649.1558105469148,7009.0122070312,,0
2018-08-05,7672.913891601555,7036.609375,7036.609375,7036.609375,5952901119.999999,0,,,-636.3045166015554,7036.609375,,0
2018-08-06,7654.051074218744,6926.1166992188,6926.1166992188,6926.1166992188,5989411840.0,0,,,-727.9343749999443,6926.1166992188,,0
2018-08-07,7622.899121093744,6711.732421875,6711.732421875,6711.732421875,6927841792.0,0,,,-911.1666992187438,6711.732421875,,0
